device,raw_std,filtered_std,noise_reduction,raw_smoothness,filtered_smoothness,smoothness_improvement,rmse_vs_reference,correlation_with_reference
FF:FF:C0:21:F1:31_rssiOne,5.069846250978577,4.615173982625884,0.4546722683526925,2.8724890829694325,1.701682487254813,1.1708065957146194,,
FF:FF:C0:21:F1:31_rssiTwo,5.069846250978577,4.615173982625884,0.4546722683526925,2.8724890829694325,1.701682487254813,1.1708065957146194,,
FF:FF:C0:21:EF:BA_rssiOne,4.329610477643537,3.9806507092337804,0.3489597684097565,2.1340996168582373,1.52276236899506,0.6113372478631773,,
FF:FF:C0:21:EF:BA_rssiTwo,4.329610477643537,3.9806507092337804,0.3489597684097565,2.1340996168582373,1.52276236899506,0.6113372478631773,,
FF:FF:C0:21:EF:1A_rssiOne,4.4606851079875804,4.124192336374481,0.33649277161309943,2.384037558685446,1.3920639982580836,0.9919735604273625,,
FF:FF:C0:21:EF:1A_rssiTwo,4.4606851079875804,4.124192336374481,0.33649277161309943,2.384037558685446,1.3920639982580836,0.9919735604273625,,
FF:FF:C0:21:EF:BF_rssiOne,5.213349087751672,4.624436747763277,0.5889123399883944,3.2987910189982728,1.848522928502934,1.4502680904953387,,
FF:FF:C0:21:EF:BF_rssiTwo,5.213349087751672,4.624436747763277,0.5889123399883944,3.2987910189982728,1.848522928502934,1.4502680904953387,,
FF:FF:C0:21:F1:2B_rssiOne,6.393490039543312,5.37754489458473,1.0159451449585815,4.886192468619247,2.3448267051144347,2.541365763504812,,
FF:FF:C0:21:F1:2B_rssiTwo,6.393490039543312,5.37754489458473,1.0159451449585815,4.886192468619247,2.3448267051144347,2.541365763504812,,
FF:FF:C2:1E:05:19_rssiOne,5.901837481906213,5.232242700450128,0.6695947814560848,3.7197290431837424,2.161936832624459,1.5577922105592834,,
FF:FF:C2:1E:05:19_rssiTwo,5.901837481906213,5.232242700450128,0.6695947814560848,3.7197290431837424,2.161936832624459,1.5577922105592834,,
FF:FF:C2:1E:02:D2_rssiOne,5.3947361967815946,4.589016197688285,0.8057199990933093,4.195059625212947,2.1197873665624583,2.0752722586504886,,
FF:FF:C2:1E:02:D2_rssiTwo,5.3947361967815946,4.589016197688285,0.8057199990933093,4.195059625212947,2.1197873665624583,2.0752722586504886,,
FF:FF:C0:21:EF:A4_rssiOne,7.727580445934832,6.940471726772026,0.7871087191628057,4.944723618090452,2.5185917448680093,2.426131873222443,,
FF:FF:C0:21:EF:A4_rssiTwo,7.727580445934832,6.940471726772026,0.7871087191628057,4.944723618090452,2.5185917448680093,2.426131873222443,,
FF:FF:C2:1D:9B:54_rssiOne,7.175745043441245,6.498234947449343,0.6775100959919023,4.422142214221422,2.14774064189866,2.2744015723227617,,
FF:FF:C2:1D:9B:54_rssiTwo,7.175745043441245,6.498234947449343,0.6775100959919023,4.422142214221422,2.14774064189866,2.2744015723227617,,
FF:FF:C2:1D:9B:71_rssiOne,6.851990609237299,6.617858598822122,0.23413201041517695,4.693288020390824,2.514908497811436,2.178379522579388,,
FF:FF:C2:1D:9B:71_rssiTwo,6.851990609237299,6.617858598822122,0.23413201041517695,4.693288020390824,2.514908497811436,2.178379522579388,,
FF:FF:C2:1D:9B:52_rssiOne,7.323536579698912,6.845912448424574,0.47762413127433767,5.312232677502139,2.653235477052884,2.658997200449255,,
FF:FF:C2:1D:9B:52_rssiTwo,7.323536579698912,6.845912448424574,0.47762413127433767,5.312232677502139,2.653235477052884,2.658997200449255,,
FF:FF:C0:22:3D:C1_rssiOne,7.259332857883354,6.7984697615019565,0.4608630963813978,4.986183074265976,2.494973370638836,2.49120970362714,,
FF:FF:C0:22:3D:C1_rssiTwo,7.259332857883354,6.7984697615019565,0.4608630963813978,4.986183074265976,2.494973370638836,2.49120970362714,,
